feature	ham_probability	spam_probability
0360	2.273904535120683e-07	6.565086868035786e-06
0363	2.273904535120683e-07	3.879369512930237e-06
037	1.8191236280965463e-06	1.1936521578246883e-06
0375	1.5917331745844781e-06	2.984130394561721e-07
039	1.3643427210724097e-06	2.984130394561721e-07
04	0.0007974583204668235	0.00010354932469129171
040	2.273904535120683e-06	3.879369512930237e-06
0400	5.684761337801707e-06	2.8050825708880174e-05
041	1.3643427210724097e-06	8.952391183685162e-07
0413	4.0930281632172295e-06	2.984130394561721e-07
042	1.1369522675603416e-06	1.7904782367370325e-06
0420	4.547809070241366e-07	6.565086868035786e-06
0423	1.3643427210724097e-06	2.984130394561721e-07
0425	4.547809070241366e-07	4.476195591842581e-06
043	1.3643427210724097e-06	8.952391183685162e-07
0435	1.591733174584478e-05	2.984130394561721e-07
0439	7.276494512386185e-06	2.984130394561721e-07
044	4.547809070241366e-07	2.9841303945617208e-06
045	3.6382472561930927e-06	2.9841303945617208e-06
0450	2.273904535120683e-07	2.9841303945617208e-06
046	2.273904535120683e-06	2.3873043156493766e-06
0462	2.273904535120683e-07	2.3873043156493766e-06
0477	1.8191236280965463e-06	2.984130394561721e-07
048	1.5917331745844781e-06	4.177782552386409e-06
049	1.8191236280965463e-06	8.952391183685162e-07
0491	3.1834663491689563e-06	2.984130394561721e-07
05	0.0006232772330765792	0.00016621606297708785
050	5.002589977265502e-06	2.0888912761932045e-06
0500	2.546773079335165e-05	3.252702130072276e-05
052	1.1369522675603416e-06	1.4920651972808604e-06
0520	2.273904535120683e-07	1.7904782367370325e-06
0521	1.3643427210724097e-06	2.984130394561721e-07
054	1.5917331745844781e-06	1.7904782367370325e-06
0542	2.273904535120683e-07	1.4920651972808604e-06
055	6.139542244825844e-06	3.879369512930237e-06
0550	4.547809070241366e-07	2.3873043156493766e-06
0551	4.775199523753434e-06	2.984130394561721e-07
056	1.3643427210724097e-06	8.952391183685162e-07
0567	9.095618140482732e-07	5.968260789123442e-07
058	9.095618140482732e-07	3.282543434017893e-06
0582	2.0465140816086147e-06	2.984130394561721e-07
0586	1.8191236280965463e-06	2.984130394561721e-07
0587	1.3643427210724097e-06	2.984130394561721e-07
059	2.273904535120683e-06	8.952391183685162e-07
0596	5.684761337801707e-06	2.984130394561721e-07
06	0.0005398249366376501	6.445721652253316e-05
060	1.1369522675603416e-06	1.1936521578246883e-06
0600	2.8878587596032673e-05	3.372067345854744e-05
0603	9.095618140482732e-07	8.952391183685162e-07
0607	2.273904535120683e-07	2.6857173551055487e-06
061	2.7286854421448195e-06	1.7904782367370325e-06
062	1.3643427210724097e-06	1.4920651972808604e-06
0625	9.095618140482732e-07	8.952391183685162e-07
063	3.6382472561930927e-06	1.4920651972808604e-06
0630	1.5917331745844781e-06	2.984130394561721e-07
064	1.1369522675603416e-06	5.968260789123442e-07
0643	2.0465140816086147e-06	2.984130394561721e-07
065	3.865637709705161e-06	2.3873043156493766e-06
0650	9.095618140482732e-07	2.3873043156493766e-06
066	1.5917331745844781e-06	2.984130394561721e-07
0667	2.273904535120683e-06	2.984130394561721e-07
067	2.501294988632751e-06	8.952391183685162e-07
068	9.095618140482732e-07	8.952391183685162e-07
0688	1.3643427210724097e-06	2.984130394561721e-07
069	1.5917331745844781e-06	5.968260789123442e-07
06980	1.8191236280965463e-06	2.984130394561721e-07
07	0.0005202693576356123	7.639373810078005e-05
070	9.095618140482732e-07	2.0888912761932045e-06
0700	5.912151791313776e-06	1.1041282459878366e-05
071	6.821713605362049e-07	2.3873043156493766e-06
07102	1.5917331745844781e-06	8.952391183685162e-07
0713	4.547809070241366e-07	1.4920651972808604e-06
072	1.1369522675603416e-06	1.7904782367370325e-06
073	2.0465140816086147e-06	8.952391183685162e-07
074	4.547809070241366e-07	4.177782552386409e-06
0746	1.3643427210724097e-06	2.984130394561721e-07
075	3.4108568026810243e-06	2.0888912761932045e-06
0758	1.5917331745844781e-06	2.984130394561721e-07
076	2.0465140816086147e-06	1.4920651972808604e-06
0769	2.273904535120683e-06	2.984130394561721e-07
0772	4.547809070241366e-07	2.6857173551055487e-06
078	2.7286854421448195e-06	8.952391183685162e-07
08	0.0006601144865455343	7.699056417969239e-05
080	1.3643427210724097e-06	2.6857173551055487e-06
0800	5.002589977265502e-06	3.6406390813652995e-05
082	9.095618140482732e-07	1.1936521578246883e-06
0820	3.1834663491689563e-06	5.968260789123442e-07
0825	1.1369522675603416e-06	2.984130394561721e-07
083	4.0930281632172295e-06	5.968260789123442e-07
0839	1.5917331745844781e-06	2.984130394561721e-07
084	2.7286854421448195e-06	5.968260789123442e-07
085	5.229980430777571e-06	5.073021670754925e-06
087	9.095618140482732e-07	1.7904782367370325e-06
088	1.5917331745844781e-06	8.952391183685162e-07
089	4.547809070241366e-06	8.952391183685162e-07
09	0.0006476080116023705	9.012073791576397e-05
090	1.5917331745844781e-06	2.6857173551055487e-06
0900	5.002589977265502e-06	2.6857173551055487e-06
0908	2.273904535120683e-07	1.7904782367370325e-06
0919	2.273904535120683e-07	3.282543434017893e-06
092	6.821713605362049e-07	4.177782552386409e-06
0920	6.821713605362049e-07	1.4920651972808604e-06
093	2.0465140816086147e-06	8.952391183685162e-07
094	1.1369522675603416e-06	5.968260789123442e-07
095	1.8191236280965463e-06	1.4920651972808604e-06
096	4.0930281632172295e-06	4.476195591842581e-06
097	1.3643427210724097e-06	1.7904782367370325e-06
0977	1.1369522675603416e-06	8.952391183685162e-07
098	2.1829483537158556e-05	8.952391183685162e-07
0980438	2.956075895656888e-06	2.984130394561721e-07
0984179	2.956075895656888e-06	2.984130394561721e-07
0985	3.1834663491689563e-06	2.984130394561721e-07
099	6.821713605362049e-07	1.4920651972808604e-06
1	0.0030372542875606963	0.0028966953740010622
10	0.0022661732597012724	0.0012217029835335685
100	0.000263090754713463	0.0008424200103847737
1000	2.2284264444182693e-05	8.594295536337756e-05
10000	3.865637709705161e-06	3.580956473474065e-06
100038	1.0005179954531004e-05	2.984130394561721e-07
10005	1.5917331745844781e-06	2.984130394561721e-07
10006	1.3643427210724097e-06	8.952391183685162e-07
1001	1.1369522675603416e-06	9.847630302053678e-06
10012	1.3643427210724097e-06	2.984130394561721e-07
10017	1.1369522675603416e-06	2.984130394561721e-07
10018	1.3643427210724097e-06	8.952391183685162e-07
1002	4.547809070241366e-07	3.879369512930237e-06
10022	2.501294988632751e-06	8.952391183685162e-07
1005	3.4108568026810243e-06	1.4920651972808604e-06
1007	2.273904535120683e-07	1.4920651972808604e-06
101	1.9555579002037872e-05	7.490167290349919e-05
1010	1.5917331745844781e-06	7.16191294694813e-06
1011	1.1369522675603416e-06	8.952391183685162e-07
10118	2.273904535120683e-07	1.7904782367370325e-06
1013	4.547809070241366e-07	1.4920651972808604e-06
1019	9.095618140482732e-07	1.4920651972808604e-06
102	1.1596913129115483e-05	9.250804223141334e-06
1022	9.095618140482732e-07	8.952391183685162e-07
1023	1.3643427210724097e-06	8.952391183685162e-07
1024	6.821713605362049e-07	7.758739025860474e-06
1025	9.095618140482732e-07	1.4920651972808604e-06
1026	6.821713605362049e-07	1.4920651972808604e-06
102775	1.3643427210724097e-06	2.984130394561721e-07
103	9.777789501018936e-06	5.073021670754925e-06
1034	1.5917331745844781e-06	2.984130394561721e-07
1038	9.095618140482732e-07	1.1936521578246883e-06
104	1.0005179954531004e-05	7.758739025860474e-06
1040	2.0465140816086147e-06	1.1936521578246883e-06
1044	2.0465140816086147e-06	1.4920651972808604e-06
10451	2.273904535120683e-07	2.6857173551055487e-06
105	1.6599503106380986e-05	8.44508901660967e-05
1050	4.0930281632172295e-06	2.0888912761932045e-06
1051	9.095618140482732e-07	5.968260789123442e-07
1053	4.547809070241366e-07	1.4920651972808604e-06
10545	3.865637709705161e-06	2.984130394561721e-07
1055	9.095618140482732e-07	1.1936521578246883e-06
106	7.276494512386185e-06	1.1936521578246883e-05
1060	2.956075895656888e-06	2.984130394561721e-07
1062	2.273904535120683e-06	2.984130394561721e-07
1063	1.3643427210724097e-06	1.1936521578246883e-06
1067	4.547809070241366e-07	2.0888912761932045e-06
107	5.457370884289639e-06	1.3130173736071571e-05
107043	5.229980430777571e-06	2.984130394561721e-07
1071	6.821713605362049e-07	5.6698477496672695e-06
1079	1.1369522675603416e-06	1.4920651972808604e-06
108	9.777789501018936e-06	7.16191294694813e-06
1087	6.821713605362049e-07	4.177782552386409e-06
1089	1.3643427210724097e-06	5.968260789123442e-07
109	4.775199523753434e-06	2.2380977959212905e-05
1090	9.095618140482732e-07	1.1936521578246883e-06
1092	2.001035990906201e-05	2.984130394561721e-07
1095	1.1369522675603416e-06	2.0888912761932045e-06
10955	2.7286854421448195e-06	2.984130394561721e-07
1097	1.1369522675603416e-06	5.968260789123442e-07
11	0.0018170771140149377	0.00037152423412293423
110	1.8873407641501667e-05	5.610165141776035e-05
1100	1.205169403613962e-05	5.6698477496672695e-06
1102	2.273904535120683e-07	4.476195591842581e-06
1103	2.0465140816086147e-06	1.1936521578246883e-06
1104	1.5917331745844781e-06	2.984130394561721e-07
1105	6.821713605362049e-07	1.1936521578246883e-05
110502	1.3643427210724097e-06	2.984130394561721e-07
1106	6.821713605362049e-07	2.0888912761932045e-06
111	8.413446779946527e-06	1.432382589389626e-05
1110	2.0465140816086147e-06	5.968260789123442e-07
1111	1.1369522675603416e-06	2.9841303945617208e-06
1112	3.6382472561930927e-06	8.952391183685162e-07
1113	6.821713605362049e-07	1.4920651972808604e-06
1115	1.5917331745844781e-06	5.968260789123442e-07
1117	4.547809070241366e-07	2.0888912761932045e-06
112	6.139542244825844e-06	8.952391183685162e-06
1120	1.5917331745844781e-06	2.3873043156493766e-06
11240	2.273904535120683e-07	1.7904782367370325e-06
1126	9.095618140482732e-07	8.952391183685162e-07
113	1.2506474943163757e-05	8.65397814422899e-06
1130	1.5917331745844781e-06	8.952391183685162e-07
1132	2.501294988632751e-06	8.952391183685162e-07
1139	4.547809070241366e-07	1.4920651972808604e-06
114	5.457370884289639e-06	1.0444456380966022e-05
1140	8.186056326434459e-06	2.984130394561721e-07
1142	1.3643427210724097e-06	8.952391183685162e-07
1145	1.3643427210724097e-06	8.952391183685162e-07
11464992	2.273904535120683e-07	1.7904782367370325e-06
1146992	2.273904535120683e-07	1.4920651972808604e-06
1147	1.1369522675603416e-06	1.1936521578246883e-06
1149	2.273904535120683e-07	5.371434710211097e-06
115	1.6599503106380986e-05	5.550482533884801e-05
1151268	2.501294988632751e-06	2.984130394561721e-07
1155	4.775199523753434e-06	1.1936521578246883e-06
11576510	2.273904535120683e-07	1.7904782367370325e-06
116	6.139542244825844e-06	8.952391183685162e-06
1160	2.273904535120683e-06	1.1936521578246883e-06
1163	1.3643427210724097e-06	8.952391183685162e-07
1165	1.3643427210724097e-06	2.984130394561721e-07
117	7.503884965898254e-06	7.758739025860474e-06
1174	2.273904535120683e-07	2.3873043156493766e-06
1175	1.8191236280965463e-06	5.968260789123442e-07
1179	1.0005179954531004e-05	1.1936521578246883e-06
118	9.3230085939948e-06	7.460325986404302e-06
1180	1.3643427210724097e-06	5.968260789123442e-07
1188	9.3230085939948e-06	2.984130394561721e-07
119	4.547809070241366e-06	5.1327042786461594e-05
1199	9.095618140482732e-07	8.952391183685162e-07
12	0.001335464133476377	0.0004968577106945265
120	2.9560758956568878e-05	0.00018412084534445816
1200	1.5235160385308576e-05	2.6260347472143143e-05
12000	1.1369522675603416e-06	2.6857173551055487e-06
1201	5.684761337801707e-06	1.4920651972808604e-06
1208	6.821713605362049e-07	1.7904782367370325e-06
121	7.049104058874117e-06	8.952391183685162e-06
1210	4.547809070241366e-07	1.7904782367370325e-06
1211	1.5917331745844781e-06	2.984130394561721e-07
1212	1.3643427210724097e-06	5.968260789123442e-07
122	9.550399047506868e-06	5.073021670754925e-06
1225	1.8191236280965463e-06	8.952391183685162e-07
123	1.1142132222091346e-05	3.013971698507338e-05
1230	2.273904535120683e-07	4.476195591842581e-06
1233	1.3643427210724097e-06	2.984130394561721e-07
1234	3.6382472561930927e-06	1.7904782367370325e-06
123542	2.273904535120683e-07	2.0888912761932045e-06
124	6.59432315184998e-06	4.297147768168878e-05
1240	1.1369522675603416e-06	5.073021670754925e-06
1244	9.095618140482732e-07	5.968260789123442e-07
125	2.5012949886327514e-05	6.505404260144551e-05
1250	4.320418616729298e-06	6.266673828579614e-06
12500	4.547809070241366e-07	6.863499907491958e-06
1252	6.821713605362049e-07	1.1339695499334539e-05
125786	1.3643427210724097e-06	2.984130394561721e-07
125822	1.5917331745844781e-06	2.984130394561721e-07
125899	1.3643427210724097e-06	2.984130394561721e-07
126	7.049104058874117e-06	2.3574630117037593e-05
1262	1.1369522675603416e-06	5.968260789123442e-07
126281	2.0465140816086147e-06	2.984130394561721e-07
1265	1.8191236280965463e-06	2.0888912761932045e-06
1266	1.8191236280965465e-05	2.984130394561721e-07
1269	2.273904535120683e-07	2.9841303945617208e-06
127	5.002589977265502e-06	2.2082564919756732e-05
1270	4.547809070241366e-07	3.879369512930237e-06
1275	4.547809070241366e-07	2.6857173551055487e-06
128	1.7736455373941328e-05	3.968893424767089e-05
1280	4.547809070241366e-07	3.282543434017893e-06
1285	6.821713605362049e-07	1.7904782367370325e-06
129	9.095618140482732e-06	3.461591257691596e-05
1290	2.273904535120683e-07	2.0888912761932045e-06
1299	1.1369522675603416e-06	1.1936521578246883e-06
13	0.000519587186275076	0.00017904782367370324
130	1.2733865396675825e-05	4.774608631298753e-05
1300	4.320418616729298e-06	5.6698477496672695e-06
1302	4.547809070241366e-07	2.0888912761932045e-06
1308	1.1369522675603416e-06	5.968260789123442e-07
130917	1.3643427210724097e-06	2.984130394561721e-07
131	4.547809070241366e-06	5.9682607891234416e-06
1313	1.1369522675603416e-06	5.968260789123442e-07
1314	2.273904535120683e-07	3.282543434017893e-06
132	7.731275419410322e-06	1.8203195406826498e-05
1323	4.547809070241366e-07	2.3873043156493766e-06
133	1.205169403613962e-05	1.3428586775527743e-05
1330	2.501294988632751e-06	5.968260789123442e-07
133196	1.8191236280965463e-06	2.984130394561721e-07
1332	1.5917331745844781e-06	1.7904782367370325e-06
1333	2.273904535120683e-07	8.952391183685162e-06
134	9.095618140482732e-06	1.0444456380966022e-05
1341	4.547809070241366e-07	1.7904782367370325e-06
1348	2.0465140816086147e-06	2.984130394561721e-07
135	1.0459960861555141e-05	4.685084719461902e-05
135714	3.1834663491689563e-06	2.984130394561721e-07
136	5.457370884289639e-06	1.700954324900181e-05
1360	4.547809070241366e-07	1.7904782367370325e-06
1362	1.5917331745844781e-06	2.984130394561721e-07
137	2.0465140816086147e-06	5.073021670754925e-06
1373	1.1142132222091346e-05	1.1936521578246883e-06
138	8.640837233458596e-06	1.880002148573884e-05
1380520	2.273904535120683e-07	2.3873043156493766e-06
1382150	2.273904535120683e-07	2.3873043156493766e-06
1382625	2.273904535120683e-07	2.3873043156493766e-06
1383	1.5917331745844781e-06	1.1936521578246883e-06
1384	1.8191236280965463e-06	5.968260789123442e-07
139	6.59432315184998e-06	3.610797777419682e-05
13920	2.273904535120683e-07	2.0888912761932045e-06
1394	5.229980430777571e-06	8.952391183685162e-07
1399	1.1369522675603416e-06	1.1936521578246883e-06
14	0.0005486931643246208	0.0002637971268792561
140	2.410338807227924e-05	8.385406408718436e-05
1400	6.503366970445153e-05	8.952391183685162e-06
1403	8.413446779946527e-06	2.984130394561721e-07
1409	3.1834663491689563e-06	5.968260789123442e-07
14092	2.273904535120683e-07	1.7904782367370325e-06
141	4.0930281632172295e-06	1.1041282459878366e-05
1411	4.0930281632172295e-06	1.4920651972808604e-06
1416	2.273904535120683e-07	2.6857173551055487e-06
1418	1.3643427210724097e-06	8.952391183685162e-07
142	5.229980430777571e-06	4.476195591842581e-06
1421	9.095618140482732e-07	1.7904782367370325e-06
1425	6.821713605362049e-07	2.0888912761932045e-06
1428	7.276494512386185e-06	5.968260789123442e-07
143	7.731275419410322e-06	5.371434710211097e-06
144	9.550399047506868e-06	1.1339695499334539e-05
1440	4.547809070241366e-07	5.371434710211097e-06
1441	2.0465140816086147e-06	5.968260789123442e-07
144271	2.956075895656888e-06	2.984130394561721e-07
145	6.3669326983379126e-06	1.4025412854440087e-05
1450	1.8191236280965463e-06	5.6698477496672695e-06
1451	2.273904535120683e-07	2.3873043156493766e-06
1454	4.547809070241366e-07	2.0888912761932045e-06
1457	4.547809070241366e-07	1.4920651972808604e-06
1459	2.501294988632751e-06	5.968260789123442e-07
146	5.684761337801707e-06	3.879369512930237e-06
1460	1.1369522675603416e-06	1.1936521578246883e-06
1465	9.095618140482732e-07	8.952391183685162e-07
1466	1.5917331745844781e-06	5.968260789123442e-07
147	7.049104058874117e-06	1.4920651972808604e-05
1470	6.821713605362049e-07	8.65397814422899e-06
1472	4.547809070241366e-07	3.580956473474065e-06
14721373	2.273904535120683e-07	1.7904782367370325e-06
1477	9.095618140482732e-07	8.952391183685162e-07
14781	2.273904535120683e-07	1.7904782367370325e-06
148	7.731275419410322e-06	5.6698477496672695e-06
1481	4.547809070241366e-07	3.879369512930237e-06
148376	2.956075895656888e-06	2.984130394561721e-07
148381	2.501294988632751e-06	2.984130394561721e-07
148396	1.5917331745844781e-06	2.984130394561721e-07
1485	1.1369522675603416e-06	5.968260789123442e-07
1487	2.501294988632751e-06	2.984130394561721e-07
149	7.276494512386185e-06	6.803817299600724e-05
1495	6.821713605362049e-07	1.4920651972808604e-06
1497	1.1369522675603416e-06	1.4920651972808604e-06
15	0.0008736341223933664	0.0005356514058238289
150	5.207241385426364e-05	0.00013309221559745275
1500	8.640837233458596e-06	1.3428586775527743e-05
15000	1.3643427210724097e-06	1.1936521578246883e-06
1505	6.821713605362049e-07	2.0888912761932045e-06
1506	9.095618140482732e-07	8.952391183685162e-07
1507	3.865637709705161e-06	5.968260789123442e-07
151	5.684761337801707e-06	5.073021670754925e-06
1511	6.3669326983379126e-06	2.984130394561721e-07
1515	1.1369522675603416e-06	1.4920651972808604e-06
151669	1.8191236280965463e-06	2.984130394561721e-07
1517	5.457370884289639e-06	1.1936521578246883e-06
1519	1.3643427210724097e-06	1.1936521578246883e-06
152	1.1142132222091346e-05	5.073021670754925e-06
1520	4.320418616729298e-06	1.1936521578246883e-06
1521	1.5917331745844781e-06	2.984130394561721e-07
15213	6.139542244825844e-06	2.984130394561721e-07
1524	2.273904535120683e-06	2.984130394561721e-07
1528	1.1369522675603416e-06	2.984130394561721e-07
153	4.0930281632172295e-06	7.460325986404302e-06
1530	2.501294988632751e-06	1.1936521578246883e-06
1534	1.8191236280965463e-06	2.0888912761932045e-06
154	4.0930281632172295e-06	9.250804223141334e-06
1540	1.1369522675603416e-06	5.968260789123442e-07
1547	6.821713605362049e-07	1.1936521578246883e-06
155	6.139542244825844e-06	1.9695260604107355e-05
1550	1.8191236280965463e-06	1.1936521578246883e-06
1552	5.002589977265502e-06	2.984130394561721e-07
1553	2.501294988632751e-06	2.984130394561721e-07
1554	1.3643427210724097e-06	2.984130394561721e-07
156	2.7286854421448195e-06	6.863499907491958e-06
156071	4.775199523753434e-06	2.984130394561721e-07
156337	2.273904535120683e-06	2.984130394561721e-07
156342	1.5917331745844781e-06	2.984130394561721e-07
1568	9.095618140482732e-07	8.952391183685162e-07
157	2.501294988632751e-06	2.2380977959212905e-05
157278	5.457370884289639e-06	2.984130394561721e-07
157288	6.3669326983379126e-06	2.984130394561721e-07
1575	1.8191236280965463e-06	8.952391183685162e-07
157572	1.5917331745844781e-06	2.984130394561721e-07
158	2.501294988632751e-06	8.65397814422899e-06
1581	2.501294988632751e-06	2.984130394561721e-07
1582	9.095618140482732e-07	5.968260789123442e-07
159	3.1834663491689563e-06	3.193019522181041e-05
1591	3.4108568026810243e-06	2.984130394561721e-07
1598	6.821713605362049e-07	1.1936521578246883e-06
16	0.0006232772330765792	0.0001987430842778106
160	9.777789501018936e-06	2.5663521393230797e-05
1600	3.865637709705161e-06	3.879369512930237e-06
1601	4.320418616729298e-06	5.968260789123442e-07
161	3.865637709705161e-06	8.892708575793928e-05
1612	4.547809070241366e-07	1.4920651972808604e-06
1615	1.1369522675603416e-06	8.952391183685162e-07
1618	2.273904535120683e-07	8.295882496881584e-05
162	3.4108568026810243e-06	8.952391183685162e-06
1622	1.5917331745844781e-06	8.952391183685162e-07
1624	2.956075895656888e-06	5.968260789123442e-07
1628	2.273904535120683e-07	2.9841303945617208e-06
163	3.1834663491689563e-06	8.65397814422899e-06
164	2.956075895656888e-06	6.863499907491958e-06
1641	9.095618140482732e-07	1.1936521578246883e-06
165	5.912151791313776e-06	1.5517478051720948e-05
166	3.865637709705161e-06	4.774608631298753e-06
1660	4.547809070241366e-07	1.4920651972808604e-06
1663800	2.273904535120683e-07	5.073021670754925e-06
1667	9.095618140482732e-07	8.952391183685162e-07
167	8.413446779946527e-06	2.6857173551055487e-06
1676	3.4108568026810243e-06	2.984130394561721e-07
1678	3.865637709705161e-06	5.968260789123442e-07
1679	1.5917331745844781e-06	2.984130394561721e-07
168	5.457370884289639e-06	1.9695260604107355e-05
1680	9.095618140482732e-07	1.1936521578246883e-06
1682426017	2.273904535120683e-07	3.879369512930237e-06
1685	1.3643427210724097e-06	8.952391183685162e-07
1687	1.1369522675603416e-06	5.968260789123442e-07
168842	3.865637709705161e-06	2.984130394561721e-07
169	5.912151791313776e-06	4.177782552386409e-05
1694	1.1369522675603416e-06	5.968260789123442e-07
17	0.000549147945231645	0.0002742415832602221
170	1.068735131506721e-05	2.7155586590511658e-05
1700	7.503884965898254e-06	2.9841303945617208e-06
1704	1.3643427210724097e-06	2.984130394561721e-07
171	9.550399047506868e-06	2.02920866830197e-05
1710	9.095618140482732e-07	2.0888912761932045e-06
1711	6.821713605362049e-07	1.1936521578246883e-06
1715	3.6382472561930927e-06	1.1936521578246883e-06
1719	1.8191236280965463e-06	2.0888912761932045e-06
172	1.4098208117748234e-05	1.0742869420422195e-05
1720	1.1369522675603416e-06	8.952391183685162e-07
173	2.956075895656888e-06	6.266673828579614e-06
1731	1.3643427210724097e-06	5.968260789123442e-07
1737	2.273904535120683e-06	5.968260789123442e-07
174	2.0465140816086147e-06	6.863499907491958e-06
1740	1.5917331745844781e-06	2.984130394561721e-07
175	1.2961255850187894e-05	2.864765178779252e-05
1750	1.5917331745844781e-06	5.968260789123442e-07
1757978	2.0465140816086147e-06	2.984130394561721e-07
176	5.229980430777571e-06	1.0444456380966022e-05
1760	6.821713605362049e-07	1.1936521578246883e-06
17611	1.8191236280965463e-06	2.984130394561721e-07
1767	9.095618140482732e-07	1.1936521578246883e-06
1769	3.4108568026810243e-06	8.952391183685162e-07
177	3.865637709705161e-06	7.16191294694813e-06
1771	6.821713605362049e-07	1.7904782367370325e-06
1775	2.273904535120683e-07	2.3873043156493766e-06
1777	9.777789501018936e-06	8.952391183685162e-07
178	1.8191236280965463e-06	5.371434710211097e-06
1789	5.684761337801707e-06	5.968260789123442e-07
179	3.4108568026810243e-06	2.3574630117037593e-05
1790	9.095618140482732e-07	8.952391183685162e-07
1799	4.547809070241366e-07	1.7904782367370325e-06
18	0.0005063985399713761	0.0002521590183404654
180	1.728167446691719e-05	3.998734728712706e-05
