recipe_tag	coefficient
frosting	0.034058063724724856
fruit	-0.0010314635516625002
fudgy	0.0580006906704025
gamedayfood	0.018390483905680977
ganache	-0.047484446908313806
garlic	0.026199187830667436
ginger	0.013309881586565344
glutenfree	0.056549303225193887
goldenbrown	0.022579704872336393
greenbeans	-0.029764891661829704
greenonion	0.012889306244102092
greenonions	0.046061383260761285
grill	0.030764044957990243
grilled	0.00804122819887907
grilling	0.03574700530508871
groundbeef	0.10572977380118256
gruyere	-0.03598151102288623
gruyerecheese	0.023987397866631396
guacamole	0.020061155522742114
hamandcheese	-0.007177156576929116
hamburger	-0.04040549841773244
handheld	0.018175359931152133
handtorndough	-0.04434934050434345
hawaii	-0.04040549841773244
hawaiian	-0.04113988667109329
healthy	-0.04325773336307454
herbs	0.03020161295484905
holiday	0.009072469465316743
homemade	0.014128027983587255
indulgent	-0.02241410193015686
italian	0.10217041307861263
italiancuisine	-0.04547311379248323
jalapenos	0.0048666122733663315
japanesecuisine	0.05673295587415179
juicy	0.06493953734792489
ketchup	-0.04040549841773244
keto	0.006439191595942346
kidfriendly	-0.09134667827019578
koreancuisine	-0.04434934050434345
laminateddough	-0.03708249709552664
lasagna	0.19983999145940431
lattice	0.00423216708045634
lettuce	-0.01287043015137352
lime	0.00483518904430801
loadednachos	0.013523871632314647
lowcarb	0.006439191595942346
lunch	-0.06256181601011906
macandcheese	0.0213033778008223
maple	0.013059769550260525
maplesyrup	0.03265013000949526
masa	0.011096435951296661
mayonnaise	-0.04040549841773244
meal	0.04929229437354741
mealprep	0.04641559179675519
meat	-0.037755704164941284
meatsauce	-0.022980370172338848
mexican	0.06918518216572628
mexicancuisine	0.01991214745582864
mexicanfood	0.013523871632314647
middleeastern	-0.09720967866487037
miso	0.005218108763792065
muffins	0.04641559179675519
mushroom	0.1206929206922781
mushrooms	0.005218108763792065
nachos	0.024780467758897026
noodles	0.0600308339549261
noodlesoup	0.005218108763792065
nori	-0.04113988667109329
numbing	0.026299781255545204
nutmeg	0.0014462429023641716
oat	-0.011590528618813854
oats	0.0316490195974614
onion	0.017044662784493642
onions	0.0009559499854367389
onthego	-0.04113988667109329
oven	0.051678985530450715
oysters	0.013503574443089415
pacificislands	-0.04040549841773244
pancakes	0.03265013000949526
parmesan	-0.03598151102288623
partyfood	0.05896315444632827
pasta	0.10098104725929057
pastasauce	-0.022980370172338848
pastry	0.011080389017980346
pastrycrust	0.03198478405003541
peach	0.02034148343077507
peanutbutter	0.05288211894301886
peanutdressing	0.016049661637576502
peanuts	-5.9640427895704144e-05
peppers	-0.0013530707986118104
pickledvegetables	0.006898675381802749
pie	-0.003647311256697523
piecrust	-0.022206184694906605
pork	-5.9640427895704144e-05
porkbelly	0.005218108763792065
potatoes	0.04084327449696922
protein	0.04641559179675519
puffpastry	0.051678985530450715
quiche	-0.1314442259828903
quick	0.025003838575268417
ramen	0.005218108763792065
refreshing	0.022844415156739715
relish	-0.04267864990965662
rhubarb	0.022844415156739715
rice	-0.04113988667109329
ricevinegar	0.012889306244102092
rich	0.07836012725924553
ricotta	0.11662279837620543
salad	-0.0005315207377099198
salsa	0.031341682156667855
salty	0.0213033778008223
sandwich	0.04151983321281182
sauce	0.0406546834236767
savory	-0.013915587349502427
scallions	0.01325024115866964
scallops	0.04844672661661151
seafood	0.053347965860446184
sesame	0.026030024391146763
sesameoil	0.012889306244102092
sesameseeds	0.012889306244102092
shrimp	0.03574700530508871
sichuancuisine	0.0262401408276495
sichuanpeppercorns	0.01325024115866964
sidedish	0.04107879215359488
sidedishes	-0.029764891661829704
skewers	0.03574700530508871
smoky	0.031678485322032136
snack	-0.03328849838147843
snacks	-0.02489827938846337
sobanoodles	0.038016912878438155
soft	0.022579704872336393
souffle	0.10291291932572437
soup	-0.01028889051266841
sourcream	0.020556059161007657
southern	0.0062134554471878125
southerncuisine	0.013503574443089415
soysauce	-0.023206773660151246
spam	-0.08154538508882572
spices	0.03020161295484905
spicy	0.02282017437520156
spicyfood	0.021171819701149855
spinach	0.027913882969794968
spring	-0.14669558616244388
steamed	0.011096435951296661
stirfry	0.01298989966897986
strawberry	0.022844415156739715
streetfood	-0.08500020492468474
stuffedpeppers	0.021171819701149855
summer	0.009705523804886138
sushi	-0.04113988667109329
sweet	-0.05215478875598485
sweetandsalty	-0.2833031526321945
sweetandsavory	0.04570989955975578
sweettreat	0.04825354104181455
taco	-0.01543845043181696
tacos	0.012209473740185633
tangy	0.020820448670759797
tart	0.0406546834236767
tea	-0.0034254444886361673
tempura	0.017454397118684687
tender	0.0718719992458838
texmex	-0.0013530707986118104
thanksgiving	-0.002023966485979918
toast	0.04151983321281182
tomato	0.0293704605656131
tomatoes	0.0011747361421820023
tomatosauce	0.09332124178729434
tortilla	0.0023090207840485493
tortillabowl	-0.01543845043181696
tortillachips	-0.0011427319434694618
tortillas	0.03949020369835741
traditional	0.011096435951296661
twisted	0.02035943658884303
udonnoodles	0.017454397118684687
vanilla	-0.023394852789629023
vanillaicecream	0.0316490195974614
vegan	-0.03293372101376527
vegetables	-0.24560935649350238
vegetarian	-0.02582413501637712
warm	0.051678985530450715
whippedcream	0.0316490195974614
winter	-0.12481741555674838
yeastdough	0.02035943658884303
